hour,pv,uv,pv/uv
0,3443320,306898,11.2198
1,1599707,161332,9.9156
2,866426,94660,9.1530
3,590955,68678,8.6047
4,506244,61796,8.1922
5,654419,81363,8.0432
6,1381493,172678,8.0004
7,2511675,316478,7.9363
8,3431640,425606,8.0630
9,4207766,497611,8.4559
10,4887078,552520,8.8451
11,4751023,561541,8.4607
12,4794982,568023,8.4415
13,5250470,578104,9.0822
14,5232567,569523,9.1876
15,5417341,580585,9.3308
16,5199536,574316,9.0534
17,4734258,561313,8.4343
18,4859422,560356,8.6720
19,6124886,602061,10.1732
20,7421930,641227,11.5746
21,8496234,661594,12.8421
22,8387039,629328,13.3270
23,6313014,496422,12.7170
