购买次数,用户数,占比
1,199558,29.6783
2,166386,24.7449
3,88071,13.0979
4,75332,11.2034
5,35292,5.2486
6,35342,5.2561
7,14570,2.1669
8,17772,2.6431
9,6621,0.9847
10,9683,1.4401
11,3234,0.4810
12,5545,0.8247
13,1796,0.2671
14,3440,0.5116
15,996,0.1481
16,2107,0.3134
17,566,0.0842
18,1402,0.2085
19,331,0.0492
20,989,0.1471
21,219,0.0326
22,681,0.1013
23,134,0.0199
24,431,0.0641
25,109,0.0162
26,299,0.0445
27,75,0.0112
28,223,0.0332
29,49,0.0073
30,187,0.0278
31,38,0.0057
32,137,0.0204
33,29,0.0043
34,117,0.0174
35,26,0.0039
36,81,0.0120
37,24,0.0036
38,62,0.0092
39,15,0.0022
40,55,0.0082
41,16,0.0024
42,40,0.0059
43,15,0.0022
44,34,0.0051
45,10,0.0015
46,36,0.0054
47,7,0.0010
48,21,0.0031
49,6,0.0009
50,22,0.0033
51,3,0.0004
52,19,0.0028
53,3,0.0004
54,11,0.0016
55,2,0.0003
56,11,0.0016
57,1,0.0001
58,17,0.0025
59,1,0.0001
60,14,0.0021
61,2,0.0003
62,5,0.0007
63,1,0.0001
64,12,0.0018
65,2,0.0003
66,4,0.0006
67,1,0.0001
68,4,0.0006
69,2,0.0003
70,2,0.0003
71,1,0.0001
72,10,0.0015
73,1,0.0001
74,2,0.0003
78,6,0.0009
80,1,0.0001
82,4,0.0006
84,1,0.0001
85,1,0.0001
86,2,0.0003
90,3,0.0004
94,1,0.0001
97,1,0.0001
100,1,0.0001
102,1,0.0001
109,1,0.0001
110,1,0.0001
112,1,0.0001
114,1,0.0001
116,1,0.0001
118,1,0.0001
122,2,0.0003
126,1,0.0001
130,1,0.0001
131,1,0.0001
132,1,0.0001
138,1,0.0001
144,1,0.0001
159,1,0.0001
168,1,0.0001
174,1,0.0001
177,1,0.0001
186,1,0.0001
262,1,0.0001
