c3,pv,buy_cnt
2520377,2284928,11095
2520771,757036,12428
149192,1118443,12539
4181361,1130991,9529
2735466,1260977,38111
411153,498141,7590
2920476,711670,3098
2891509,15275,213
4145813,3561696,35821
1080785,1084720,5108
2355072,3554361,13971
2465336,1702978,15189
2131531,386879,4382
4690421,361552,5749
982926,3162167,28010
4756105,5076670,31851
3524510,110113,2544
1320293,2021715,19316
4801426,2103257,29838
3002561,1605353,18621
2188684,50181,309
4869428,42564,709
3425094,21799,542
2945933,193638,4203
223690,23814,1041
1813868,780,81
2951233,11918,678
1521931,46512,2474
1194311,702,21
1258177,9850,656
2429887,6401,289
2881542,8827,630
3897386,4440,548
4302328,11923,234
2342116,131142,2068
3624696,107216,3386
4482016,7246,184
2293367,60329,419
4098232,54670,780
1029459,487402,12604
4896062,9930,414
3738615,936362,11285
1575622,504372,12713
4640311,82640,2537
3299155,438658,6997
2096639,597917,4759
3312150,64730,522
3114694,491,28
2352202,34324,104
1051370,375280,6251
238434,186889,4136
551706,30192,1246
4338287,25022,509
2440115,153539,4959
1312642,105306,1316
3995452,12579,966
4382196,14146,50
1349561,203007,8609
2939262,546037,12257
4558987,182636,7299
2430608,24899,259
2419959,105238,591
1789614,141719,3444
1653613,9818,378
1851156,190824,6474
171529,113938,1407
1879194,858068,14646
5071267,363612,5199
3579754,99306,1832
1202097,18834,95
4993094,126172,4355
2982027,277238,3031
1299190,579359,15500
807138,4606,141
245312,189338,5595
5053508,306639,10199
1864538,215,8
337243,6399,74
2322253,40051,1428
2086128,1174,31
154040,1017884,2750
4173315,265578,1159
1973012,74422,6710
3004853,268587,4783
2926020,353453,6189
174239,65574,5060
634390,193074,3905
1216617,297348,5959
1836480,904,7
3607361,3351099,14344
672001,284208,1932
4261392,4995,256
3381933,1567,5
4818107,136149,2177
1117956,1189,5
4112095,1497,110
737184,253928,853
3459125,15709,206
4462359,144027,4850
2806049,50080,319
1379146,178249,4464
3645362,277256,7196
3108044,77060,2854
590997,49116,1607
2578647,396079,7148
4339722,227823,3569
4827537,10002,305
359388,40793,1273
1397912,164828,1201
1792277,122451,2787
1595193,70991,4559
1516409,60519,7530
886203,146103,2947
3909718,13867,265
2640118,821717,20634
4606718,185153,4260
4697972,121323,3851
4738961,7503,166
3611159,2075,6
4358294,107422,222
703487,38350,1711
4708348,7582,35
523181,1433,112
344833,232159,1051
3844144,93065,1811
3496816,47836,277
1464116,773025,39087
3561974,24981,186
4708262,70869,1059
3680035,7999,94
4467019,4080,177
4806751,3615,148
4159072,213187,20182
2885642,1077545,35839
772894,12880,1785
1678374,19292,294
550660,23692,233
3673049,76961,1097
