Country,revenue,pct
United Kingdom,7308391.55,82.01
Netherlands,285446.34,3.20
EIRE,265545.90,2.98
Germany,228867.14,2.57
France,209024.05,2.35
Australia,138521.31,1.55
Spain,61577.11,0.69
Switzerland,56443.95,0.63
Belgium,41196.34,0.46
Sweden,38378.33,0.43
Japan,37416.37,0.42
Norway,36165.44,0.41
Portugal,33439.89,0.38
Finland,22546.08,0.25
Singapore,21279.29,0.24
Channel Islands,20450.44,0.23
Denmark,18955.34,0.21
Italy,17483.24,0.20
Cyprus,13590.38,0.15
Austria,10198.68,0.11
Poland,7334.65,0.08
Israel,7221.69,0.08
Greece,4760.52,0.05
Iceland,4310.00,0.05
Canada,3666.38,0.04
USA,3580.39,0.04
Malta,2725.59,0.03
Unspecified,2667.07,0.03
United Arab Emirates,1902.28,0.02
Lebanon,1693.88,0.02
Lithuania,1661.06,0.02
European Community,1300.25,0.01
Brazil,1143.60,0.01
RSA,1002.31,0.01
Czech Republic,826.74,0.01
Bahrain,548.40,0.01
Saudi Arabia,145.92,0.00
