StockCode,return_order,t_order,b_rate
D,77,65,118.46
20957,1,1,100.00
21144,1,1,100.00
21412,1,1,100.00
21645,1,1,100.00
35832,1,1,100.00
37503,1,1,100.00
79320,1,1,100.00
79323W,1,1,100.00
84839,1,1,100.00
84856S,1,1,100.00
85023C,1,1,100.00
85042,2,2,100.00
85063,2,2,100.00
85065,1,1,100.00
85068,1,1,100.00
85098B,1,1,100.00
85126,1,1,100.00
CRUK,16,16,100.00
20703,3,4,75.00
79323B,2,3,66.67
79323P,2,3,66.67
84750A,2,3,66.67
35400,8,13,61.54
21655,3,5,60.00
21667,1,2,50.00
22034,1,2,50.00
23630,1,2,50.00
23843,1,2,50.00
72815,1,2,50.00
84857B,1,2,50.00
85047,2,4,50.00
90059A,1,2,50.00
90059D,1,2,50.00
90076,1,2,50.00
90118,1,2,50.00
90168,1,2,50.00
90169,1,2,50.00
90176A,1,2,50.00
90177A,1,2,50.00
90177E,1,2,50.00
90182C,1,2,50.00
90202A,1,2,50.00
M,175,407,43.00
21777,2,5,40.00
22769,2,5,40.00
85232B,6,15,40.00
90185B,2,5,40.00
90185C,3,8,37.50
20901,1,3,33.33
21461,2,6,33.33
22184,2,6,33.33
22764,1,3,33.33
84816,5,15,33.33
90003E,1,3,33.33
90024B,1,3,33.33
90050,1,3,33.33
90148,2,6,33.33
90174,2,6,33.33
90202B,1,3,33.33
90202C,1,3,33.33
90202D,1,3,33.33
90211B,1,3,33.33
23064,10,32,31.25
20821,2,7,28.57
16202E,1,4,25.00
84616,2,8,25.00
84798A,1,4,25.00
84840,1,4,25.00
85118,2,8,25.00
90003B,1,4,25.00
90013A,1,4,25.00
90018C,1,4,25.00
90059B,1,4,25.00
90059C,1,4,25.00
90059E,1,4,25.00
90059F,1,4,25.00
90070,1,4,25.00
90143,2,8,25.00
90177C,1,4,25.00
90199C,2,8,25.00
22486,3,13,23.08
22656,6,26,23.08
78033,2,9,22.22
22198,15,68,22.06
23462,12,56,21.43
22461,12,57,21.05
20793,1,5,20.00
20795,2,10,20.00
20897,2,10,20.00
20898,1,5,20.00
84575A,1,5,20.00
84688,2,10,20.00
90022,1,5,20.00
90101,1,5,20.00
90176D,1,5,20.00
90208,1,5,20.00
90209A,1,5,20.00
23071,4,21,19.05
21424,5,27,18.52
21275,2,11,18.18
84631,2,11,18.18
84799,2,11,18.18
85159B,13,72,18.06
84766,3,17,17.65
22655,8,46,17.39
35004C,8,46,17.39
20798,1,6,16.67
20934,4,24,16.67
21344,1,6,16.67
21736,1,6,16.67
22103,3,18,16.67
23015,3,18,16.67
35001W,1,6,16.67
62043B,1,6,16.67
79191C,13,78,16.67
84598,1,6,16.67
84632,1,6,16.67
84678,2,12,16.67
84881,1,6,16.67
90003C,1,6,16.67
90183A,1,6,16.67
90185A,1,6,16.67
90201B,2,12,16.67
35004B,9,55,16.36
47594A,5,31,16.13
21658,23,149,15.44
84625C,5,33,15.15
21426,3,20,15.00
22060,6,40,15.00
84665,3,20,15.00
23661,4,27,14.81
40001,6,41,14.63
21258,18,124,14.52
75049L,20,138,14.49
22778,18,125,14.40
22106,2,14,14.29
46138B,2,14,14.29
85023B,2,14,14.29
85103,1,7,14.29
90062,1,7,14.29
90064B,1,7,14.29
90108,1,7,14.29
90170,1,7,14.29
90177D,1,7,14.29
37449,25,177,14.12
22891,17,121,14.05
23485,13,93,13.98
23056,6,43,13.95
35924,5,36,13.89
21735,13,95,13.68
21527,21,154,13.64
22929,2,15,13.33
84687,3,23,13.04
71279,4,31,12.90
22364,14,109,12.84
21190,1,8,12.50
21349,1,8,12.50
22039,1,8,12.50
23487,6,48,12.50
23574,2,16,12.50
35957,1,8,12.50
37495,12,96,12.50
47013C,1,8,12.50
79191D,1,8,12.50
84086B,1,8,12.50
85087,1,8,12.50
90003D,1,8,12.50
90058A,1,8,12.50
84949,35,285,12.28
23113,6,49,12.24
84352,3,25,12.00
20794,2,17,11.76
23458,4,34,11.76
85159A,6,51,11.76
23169,34,296,11.49
23111,16,140,11.43
23660,4,35,11.43
23110,28,247,11.34
22797,10,89,11.24
23155,14,125,11.20
20857,1,9,11.11
21318,5,45,11.11
22166,2,18,11.11
22236,11,99,11.11
22503,2,18,11.11
22649,20,180,11.11
72140E,1,9,11.11
84422,1,9,11.11
84751B,1,9,11.11
84857C,1,9,11.11
90192,1,9,11.11
90204,1,9,11.11
21537,7,64,10.94
37450,12,110,10.91
23057,5,46,10.87
22220,9,83,10.84
21427,3,28,10.71
22168,9,84,10.71
22618,3,28,10.71
84663A,3,28,10.71
85131A,3,28,10.71
22360,17,159,10.69
71477,31,294,10.54
22183,2,19,10.53
22719,4,38,10.53
21314,40,382,10.47
21528,10,96,10.42
22061,15,144,10.42
22827,3,29,10.34
22634,23,226,10.18
21459,2,20,10.00
22242,3,30,10.00
23055,4,40,10.00
47351B,1,10,10.00
84247K,1,10,10.00
84685,1,10,10.00
84800S,1,10,10.00
85024C,1,10,10.00
90018A,1,10,10.00
90098,1,10,10.00
84817,6,61,9.84
22768,25,258,9.69
23470,8,83,9.64
22423,181,1883,9.61
21232,61,639,9.55
22456,32,335,9.55
21289,2,21,9.52
23149,2,21,9.52
23459,2,21,9.52
22784,27,286,9.44
23146,22,233,9.44
23112,19,202,9.41
22796,22,234,9.40
22325,6,64,9.38
22838,14,150,9.33
23249,7,75,9.33
23404,14,150,9.33
85048,22,236,9.32
22504,4,43,9.30
21277,2,22,9.09
22105,1,11,9.09
23024,1,11,9.09
23325,3,33,9.09
47594B,3,33,9.09
79337,1,11,9.09
84629,1,11,9.09
84906,1,11,9.09
85019C,1,11,9.09
85045,1,11,9.09
90162B,1,11,9.09
21781,8,89,8.99
21452,13,145,8.97
22960,86,964,8.92
21845,8,90,8.89
22826,4,45,8.89
21843,41,462,8.87
21530,8,91,8.79
22701,5,57,8.77
22842,14,160,8.75
22591,6,69,8.70
22777,4,46,8.70
23022,2,23,8.70
35810B,2,23,8.70
22442,7,81,8.64
21579,3,35,8.57
22628,11,129,8.53
23460,4,47,8.51
22064,15,178,8.43
22357,8,95,8.42
22180,12,143,8.39
22942,12,143,8.39
20932,2,24,8.33
20980,1,12,8.33
21320,1,12,8.33
22444,3,36,8.33
22760,6,72,8.33
22856,2,24,8.33
22878,1,12,8.33
22883,1,12,8.33
23072,2,24,8.33
35921,1,12,8.33
79163,3,36,8.33
84800M,1,12,8.33
84927D,1,12,8.33
84927E,1,12,8.33
90160A,1,12,8.33
90201A,1,12,8.33
22798,17,205,8.29
23250,8,97,8.25
22962,22,267,8.24
72807C,10,122,8.20
82483,45,549,8.20
22776,40,489,8.18
POST,97,1194,8.12
23243,34,419,8.11
23486,6,74,8.11
85040B,3,37,8.11
22637,23,285,8.07
21209,5,62,8.06
22847,30,372,8.06
22788,4,50,8.00
84247E,2,25,8.00
85064,2,25,8.00
22892,17,213,7.98
22362,7,88,7.95
23425,3,38,7.89
22156,13,165,7.88
21205,4,51,7.84
22244,8,102,7.84
22231,9,115,7.83
22890,12,155,7.74
21279,1,13,7.69
21319,1,13,7.69
22700,4,52,7.69
22885,1,13,7.69
23020,6,78,7.69
84750B,1,13,7.69
85039C,1,13,7.69
90147,1,13,7.69
90201C,1,13,7.69
90209C,1,13,7.69
21844,11,145,7.59
22232,5,66,7.58
22307,5,66,7.58
22767,17,225,7.56
23165,18,238,7.56
23168,18,238,7.56
21927,8,106,7.55
22781,13,173,7.51
37446,12,160,7.50
11001,5,67,7.46
22762,7,94,7.45
21284,2,27,7.41
22923,6,81,7.41
84507C,2,27,7.41
22941,20,273,7.33
37447,6,82,7.32
85141,3,41,7.32
22946,7,96,7.29
22990,11,151,7.28
15058A,4,55,7.27
23075,6,83,7.23
37448,12,166,7.23
21313,10,139,7.19
21143,2,28,7.14
21197,1,14,7.14
21359,2,28,7.14
22636,14,196,7.14
22877,1,14,7.14
22893,5,70,7.14
84952B,1,14,7.14
21231,29,408,7.11
21730,9,127,7.09
21539,16,227,7.05
72807A,5,71,7.04
23118,17,242,7.02
84078A,8,114,7.02
84279P,7,101,6.93
22162,2,29,6.90
23099,4,58,6.90
22839,10,146,6.85
21067,3,44,6.82
21194,3,44,6.82
23235,7,103,6.80
22770,4,59,6.78
