StockCode,total_sold,d_num
85123A,36782,1978
22423,12402,1703
85099B,46181,1600
47566,15291,1379
84879,35362,1375
20725,17897,1289
22720,7020,1146
POST,3120,1099
23203,19516,1080
20727,11291,1052
22383,11722,1043
22197,49183,1035
21212,33693,1029
23298,7785,1009
23209,13004,1006
22382,9912,988
22086,15617,980
22457,8480,967
20728,10820,966
22469,16775,961
22384,10254,931
22960,8151,878
22727,7221,877
82482,8276,876
22386,20165,871
22961,15055,868
22993,11792,866
23206,11565,866
21034,1893,859
22138,4797,854
22666,7373,828
22139,4248,823
20726,9115,820
22178,22433,815
82494L,6282,811
22470,9591,801
23084,27202,801
22411,10518,790
22726,5641,789
22699,9132,783
21931,11516,774
23202,10716,772
20914,6170,764
23301,7740,756
23201,12540,752
20724,12809,739
21080,12313,732
22077,8605,726
21790,13336,722
23355,5338,719
23199,13887,718
23245,5856,718
22629,13919,704
22112,5160,700
22910,9433,697
21181,11963,694
21175,11993,692
21754,2654,691
22697,6430,691
21733,7759,679
84946,16473,677
21977,24264,669
84991,17689,657
22111,4259,656
85099F,16807,654
22722,5372,653
85099C,12793,649
23284,5342,648
23207,7554,647
22558,8418,639
23300,6303,635
22624,1783,620
22630,11336,616
22728,5074,613
82484,5921,604
21166,10209,602
21929,9889,602
22662,6545,598
23208,6225,597
22326,8100,595
85152,8164,590
22554,7307,587
23344,8954,586
22355,8975,585
21232,10366,582
23321,4283,582
22551,7664,579
20685,3901,576
22865,8115,572
84978,10980,572
22467,7688,570
22090,6879,567
21915,20975,561
82486,2085,559
22698,5343,556
21755,1946,555
22966,7204,554
21928,9704,542
20972,7131,535
21485,3335,533
22907,6102,533
20719,9237,531
48187,3721,531
21975,12134,529
84755,15611,529
21731,12871,522
22556,5952,521
84378,6019,521
79321,9650,519
22969,12092,518
21914,7434,517
48138,3625,516
22114,3736,514
22113,3156,511
23322,2908,511
22621,5895,509
82483,2341,509
22835,2972,505
22659,11094,504
23307,11675,504
84992,13070,501
21213,14309,499
84380,5293,498
20712,8187,492
20723,6847,492
22909,8122,489
22356,7306,487
21791,7143,485
23240,4103,485
22557,4573,480
48194,3271,480
22385,8236,477
84836,5757,476
22867,6001,474
84077,54415,472
21930,5706,471
22866,6118,471
23200,6733,470
22730,2728,468
22952,14759,467
23293,8243,465
22577,9784,463
22149,5890,461
22328,6481,458
20971,10225,457
22766,3206,454
22189,8195,452
21889,5778,449
22555,5885,449
22776,1116,449
23356,2352,449
22367,3543,448
22625,1476,448
85066,1705,445
22083,4307,444
22427,1995,441
22633,4746,441
22667,2870,441
22553,4036,439
22998,11769,437
22147,6127,436
22578,9630,433
21559,3716,426
23204,7039,425
22617,2153,424
84997D,4922,424
21843,1809,421
22144,3468,421
82600,5833,419
22568,3284,417
22193,1352,416
84375,4149,416
84970S,8470,412
20713,10466,411
22804,2869,409
22379,6088,407
22417,8103,407
21524,1662,405
22150,2923,402
22749,2223,401
21523,3088,397
47591D,3144,397
22561,5695,395
22029,7858,394
22652,4864,394
21621,2540,391
22191,1426,391
23263,3747,389
21936,3758,385
23243,4663,385
23343,4908,385
82583,6415,385
20718,4264,384
82580,5505,383
22616,25345,382
21231,5757,381
21481,2925,379
22487,724,379
71459,12941,379
15056N,3826,378
21479,2702,378
22750,1964,378
21908,3635,374
22084,4893,374
23198,3067,374
82582,4290,374
21172,3335,371
21174,3926,371
23439,3762,371
22900,4580,368
85150,3899,367
20749,1719,365
20750,1712,365
21210,5680,365
23319,3539,365
22620,4491,364
84692,6808,364
22595,6516,361
84596B,4491,361
21165,4027,359
22632,4394,359
22729,2182,359
23295,5963,359
23313,2755,359
47590B,2287,359
48184,1975,356
47590A,1950,355
21155,2460,354
21985,8569,354
22951,7247,354
23173,2666,354
21136,4476,352
21669,4969,351
22413,3690,351
23108,2194,351
23493,3522,349
22141,2448,348
22507,2786,348
22748,1895,346
23205,5152,345
22661,5085,343
21169,4281,342
21314,3670,342
22847,851,342
21770,1577,341
21891,7919,340
22619,2297,339
35970,4647,339
22192,907,338
22692,1378,338
22173,2151,337
21121,6502,336
22560,8014,336
84970L,5700,336
21498,10547,335
85049E,2747,335
22082,2558,334
21668,5035,333
22983,5038,332
21907,2294,329
22734,2843,329
23318,3647,329
23170,6575,328
22988,8821,327
23503,3435,327
22424,713,326
